Altium Designer Pick and Place Locations
C:\Users\Public\Documents\Altium\V4_Supervision\Project Outputs for V4_Supervision\Pick Place\Pick Place for V4_Supervision.csv

========================================================================================================================
File Design Information:

Date:       18/01/26
Time:       06:51
Revision:   Not in VersionControl
Variant:    No variations
Units used: mil

"Designator","Comment","Layer","Footprint","Center-X(mil)","Center-Y(mil)","Rotation","Description"
"R18","680Ohm","TopLayer","RESC1005X37N","990.000","940.000","0","Res Thick Film 0402 680 Ohm 1% 0.063W(1/16W) ±100ppm/C Pad SMD T/R"
"R17","40K, 75V","TopLayer","RESC1508X55N","840.000","1035.000","180","40 kOhms ±0.1% 0.1W, 1/10W Chip Resistor 0603 (1608 Metric) Thin Film"
"R16","100kO 0603","TopLayer","RESC1508X55N","455.000","1030.000","270","100 kOhms ±1% 0.1W, 1/10W Chip Resistor 0603 (1608 Metric) Automotive AEC-Q200 Thick Film"
"R15","10k? 0603","TopLayer","RESC1508X55N","840.000","975.000","0","10 kOhms ±1% 0.1W, 1/10W Chip Resistor 0603 (1608 Metric) Moisture Resistant Thick Film"
"R14","100kO 0603","TopLayer","RESC1508X55N","395.000","1030.000","90","100 kOhms ±1% 0.1W, 1/10W Chip Resistor 0603 (1608 Metric) Automotive AEC-Q200 Thick Film"
"R13","10k? 0603","TopLayer","RESC1508X55N","1375.000","875.000","0","10 kOhms ±1% 0.1W, 1/10W Chip Resistor 0603 (1608 Metric) Moisture Resistant Thick Film"
"R12","100kO 0603","TopLayer","RESC1508X55N","475.000","1570.000","270","100 kOhms ±1% 0.1W, 1/10W Chip Resistor 0603 (1608 Metric) Automotive AEC-Q200 Thick Film"
"R11","20k? 0603","TopLayer","RESC1508X55N","355.000","405.000","270","20 kOhms ±1% 0.1W, 1/10W Chip Resistor 0603 (1608 Metric) Moisture Resistant Thick Film"
"R10","470K","TopLayer","RESC1508X55N","485.000","880.000","0","470 kOhms ±1% 0.1W, 1/10W Chip Resistor 0603 (1608 Metric) Automotive AEC-Q200, Moisture Resistant Thick Film"
"R9","33K","TopLayer","RESC1005X37N","415.000","1565.000","90","Res Thick Film 0402 33K Ohm 1% 0.063W(1/16W) ±100ppm/C Pad SMD T/R"
"R8","100kO 0603","TopLayer","RESC1508X55N","285.000","405.000","90","100 kOhms ±1% 0.1W, 1/10W Chip Resistor 0603 (1608 Metric) Automotive AEC-Q200 Thick Film"
"R7","10k? 0603","TopLayer","RESC1508X55N","485.000","825.000","180","10 kOhms ±1% 0.1W, 1/10W Chip Resistor 0603 (1608 Metric) Moisture Resistant Thick Film"
"R6","470K","TopLayer","RESC1508X55N","505.000","1410.000","0","470 kOhms ±1% 0.1W, 1/10W Chip Resistor 0603 (1608 Metric) Automotive AEC-Q200, Moisture Resistant Thick Film"
"R5","470K","TopLayer","RESC1508X55N","395.000","260.000","0","470 kOhms ±1% 0.1W, 1/10W Chip Resistor 0603 (1608 Metric) Automotive AEC-Q200, Moisture Resistant Thick Film"
"R4","0R","TopLayer","RESC1005X37N","1057.992","1135.000","180","RES 0 OHM JUMPER 1/16W 0402"
"R3","10k? 0603","TopLayer","RESC1508X55N","505.000","1350.000","180","10 kOhms ±1% 0.1W, 1/10W Chip Resistor 0603 (1608 Metric) Moisture Resistant Thick Film"
"R2","10k? 0603","TopLayer","RESC1508X55N","395.000","200.000","180","10 kOhms ±1% 0.1W, 1/10W Chip Resistor 0603 (1608 Metric) Moisture Resistant Thick Film"
"R1","10k? 0603","TopLayer","RESC1508X55N","285.000","930.000","180","10 kOhms ±1% 0.1W, 1/10W Chip Resistor 0603 (1608 Metric) Moisture Resistant Thick Film"
"J2","10 Pin Header","TopLayer","CONN_2PH1-10-UA-SMT-B_ADM-L","2270.000","984.252","90","Connector Header Surface Mount 10 position 0.079" (2.00mm)"
"J1","20 Male Pin","TopLayer","SAMTEC_TSW-110-07-F-D","115.000","985.000","90","Connector Header Through Hole 20 position 0.100" (2.54mm)"
"D3","GREEN","TopLayer","LED0402G","2236.299","1545.000","0","LED GREEN 0402 SMD"
"D2","GREEN","TopLayer","LED0402G","1490.000","1485.000","90","LED GREEN 0402 SMD"
"D1","GREEN","TopLayer","LED0402G","1820.000","155.000","270","LED GREEN 0402 SMD"
"C23","100nF, 50V","TopLayer","CAPC1005X65N","870.000","870.000","270","CAP CER 0.1UF 50V X7R 0402"
"C22","10uF, 10V","TopLayer","CAPC1005X65N","815.000","870.000","270","10 µF ±20% 10V Ceramic Capacitor X5R 0402 (1005 Metric)"
"C21","100nF, 50V","TopLayer","CAPC1005X65N","2045.000","850.000","270","CAP CER 0.1UF 50V X7R 0402"
"C20","10uF, 10V","TopLayer","CAPC1005X65N","2100.000","850.000","270","10 µF ±20% 10V Ceramic Capacitor X5R 0402 (1005 Metric)"
"C19","100nF, 50V","TopLayer","CAPC1005X65N","2045.000","1277.205","270","CAP CER 0.1UF 50V X7R 0402"
"C18","10uF, 10V","TopLayer","CAPC1005X65N","2100.000","1277.205","270","10 µF ±20% 10V Ceramic Capacitor X5R 0402 (1005 Metric)"
"C17","100nF, 50V","TopLayer","CAPC1005X65N","1525.000","935.000","180","CAP CER 0.1UF 50V X7R 0402"
"C16","10nF","TopLayer","CAPC1005X65N","835.000","1095.000","180","0402 10 nF 50 V ±10 % Tolerance X7R SMT Multilayer Ceramic Capacitor"
"C15","10nF","TopLayer","CAPC1005X65N","645.000","880.000","180","0402 10 nF 50 V ±10 % Tolerance X7R SMT Multilayer Ceramic Capacitor"
"C14","100nF, 50V","TopLayer","CAPC1005X65N","1420.000","727.795","270","CAP CER 0.1UF 50V X7R 0402"
"C13","10uF, 10V","TopLayer","CAPC1005X65N","1365.000","727.795","270","10 µF ±20% 10V Ceramic Capacitor X5R 0402 (1005 Metric)"
"C12","100nF, 50V","TopLayer","CAPC1005X65N","1200.000","885.000","180","CAP CER 0.1UF 50V X7R 0402"
"C11","10uF, 10V","TopLayer","CAPC1005X65N","1200.000","830.000","180","10 µF ±20% 10V Ceramic Capacitor X5R 0402 (1005 Metric)"
"C10","10nF","TopLayer","CAPC1005X65N","655.000","1400.000","180","0402 10 nF 50 V ±10 % Tolerance X7R SMT Multilayer Ceramic Capacitor"
"C9","10nF","TopLayer","CAPC1005X65N","550.000","265.000","180","0402 10 nF 50 V ±10 % Tolerance X7R SMT Multilayer Ceramic Capacitor"
"C8","100nF, 50V","TopLayer","CAPC1005X65N","1491.496","1290.158","270","CAP CER 0.1UF 50V X7R 0402"
"C7","10uF, 10V","TopLayer","CAPC1005X65N","1436.496","1290.158","270","10 µF ±20% 10V Ceramic Capacitor X5R 0402 (1005 Metric)"
"C6","100nF, 50V","TopLayer","CAPC1005X65N","1077.205","1355.000","180","CAP CER 0.1UF 50V X7R 0402"
"C5","10uF, 10V","TopLayer","CAPC1005X65N","1077.205","1410.000","180","10 µF ±20% 10V Ceramic Capacitor X5R 0402 (1005 Metric)"
"C4","100nF, 50V","TopLayer","CAPC1005X65N","450.000","1165.000","270","CAP CER 0.1UF 50V X7R 0402"
"C3","100nF, 50V","TopLayer","CAPC1005X65N","275.000","990.000","180","CAP CER 0.1UF 50V X7R 0402"
"C2","100nF, 50V","TopLayer","CAPC1005X65N","470.000","1695.000","270","CAP CER 0.1UF 50V X7R 0402"
"C1","100nF, 50V","TopLayer","CAPC1005X65N","335.000","545.000","0","CAP CER 0.1UF 50V X7R 0402"
