Altium Designer Pick and Place Locations
C:\Users\Public\Documents\Altium\V3_ECU_Actuators\Project Outputs for V3_ECU_Actuators\Pick Place\Pick Place for V3_ECU_Actuators.csv

========================================================================================================================
File Design Information:

Date:       14/01/26
Time:       04:54
Revision:   Not in VersionControl
Variant:    No variations
Units used: mil

"Designator","Comment","Layer","Footprint","Center-X(mil)","Center-Y(mil)","Rotation","Description"
"R3","22O","TopLayer","RESC1005X37N","900.000","520.000","270","22 Ohms ±1% 0.063W, 1/16W Chip Resistor 0402 (1005 Metric) Moisture Resistant Thick Film"
"R2","22O","TopLayer","RESC1005X37N","705.000","520.000","270","22 Ohms ±1% 0.063W, 1/16W Chip Resistor 0402 (1005 Metric) Moisture Resistant Thick Film"
"R1","22O","TopLayer","RESC1005X37N","495.000","520.000","270","22 Ohms ±1% 0.063W, 1/16W Chip Resistor 0402 (1005 Metric) Moisture Resistant Thick Film"
"Q7","SOT-23","TopLayer","SOT95P280X125-3N","1735.000","675.000","90","N-Channel 30 V 5.7A (Ta) 1.4W (Ta) Surface Mount SOT-23-3"
"Q8","SOT-23","TopLayer","SOT95P280X125-3N","1945.000","675.000","90","N-Channel 30 V 5.7A (Ta) 1.4W (Ta) Surface Mount SOT-23-3"
"Q6","SOT-23","TopLayer","SOT95P280X125-3N","1530.000","675.000","90","N-Channel 30 V 5.7A (Ta) 1.4W (Ta) Surface Mount SOT-23-3"
"Q5","SOT-23","TopLayer","SOT95P280X125-3N","1330.000","675.000","90","N-Channel 30 V 5.7A (Ta) 1.4W (Ta) Surface Mount SOT-23-3"
"Q4","SOT-23","TopLayer","SOT95P280X125-3N","1130.000","675.000","90","N-Channel 30 V 5.7A (Ta) 1.4W (Ta) Surface Mount SOT-23-3"
"Q3","SOT-23","TopLayer","SOT95P280X125-3N","935.000","675.000","90","N-Channel 30 V 5.7A (Ta) 1.4W (Ta) Surface Mount SOT-23-3"
"Q2","SOT-23","TopLayer","SOT95P280X125-3N","740.000","675.000","90","N-Channel 30 V 5.7A (Ta) 1.4W (Ta) Surface Mount SOT-23-3"
"Q1","SOT-23","TopLayer","SOT95P280X125-3N","535.000","675.000","90","N-Channel 30 V 5.7A (Ta) 1.4W (Ta) Surface Mount SOT-23-3"
"J2","10 Pin Header","TopLayer","CONN_2PH1-10-UA-SMT-B_ADM-L","1181.102","90.000","0","Connector Header Surface Mount 10 position 0.079" (2.00mm)"
"J1","10 Pin Header","TopLayer","CONN_2PH1-10-UA-SMT-B_ADM-L","1181.102","1495.000","0","Connector Header Surface Mount 10 position 0.079" (2.00mm)"
"D15","SS34","TopLayer","FP-SMA-MFG","1945.000","923.740","270","Rectifier Diode, Schottky, 1 Phase, 1 Element, 3A, 40V V(RRM), Silicon, DO-214AC"
"D12","SS34","TopLayer","FP-SMA-MFG","1530.000","923.740","270","Rectifier Diode, Schottky, 1 Phase, 1 Element, 3A, 40V V(RRM), Silicon, DO-214AC"
"D10","SS34","TopLayer","FP-SMA-MFG","1330.000","923.740","270","Rectifier Diode, Schottky, 1 Phase, 1 Element, 3A, 40V V(RRM), Silicon, DO-214AC"
"D8","SS34","TopLayer","FP-SMA-MFG","1735.000","923.740","270","Rectifier Diode, Schottky, 1 Phase, 1 Element, 3A, 40V V(RRM), Silicon, DO-214AC"
"D7","SS34","TopLayer","FP-SMA-MFG","1130.000","923.740","270","Rectifier Diode, Schottky, 1 Phase, 1 Element, 3A, 40V V(RRM), Silicon, DO-214AC"
"D5","SS34","TopLayer","FP-SMA-MFG","935.000","923.740","270","Rectifier Diode, Schottky, 1 Phase, 1 Element, 3A, 40V V(RRM), Silicon, DO-214AC"
"D3","SS34","TopLayer","FP-SMA-MFG","740.000","923.740","270","Rectifier Diode, Schottky, 1 Phase, 1 Element, 3A, 40V V(RRM), Silicon, DO-214AC"
"D2","SMBJ24A","TopLayer","FP-SMAJ-MFG","370.000","1446.614","90","38.9V Clamp 15.5A Ipp Tvs Diode Surface Mount DO-214AA (SMBJ)"
"D1","SS34","TopLayer","FP-SMA-MFG","535.000","925.000","270","Rectifier Diode, Schottky, 1 Phase, 1 Element, 3A, 40V V(RRM), Silicon, DO-214AC"
"C5","1uF, 35V","TopLayer","CAPC1005X65N","907.205","1370.000","180","CAP CER 1UF 35V X5R 0402"
"C4","100nF, 50V","TopLayer","CAPC1005X65N","812.795","1370.000","0","CAP CER 0.1UF 50V X7R 0402"
"C3","100uF, 35V","TopLayer","CAP_YX_6P3X11_RUB","600.000","1439.213","90","Aluminum Electrolytic Capacitors-DIP DIP, D6.3xL11mm 100µF ±20% 35V 220mO 400mA 7000Hrs@105?"
"C2","100nF, 50V","TopLayer","CAPC1005X65N","1634.437","852.543","90","CAP CER 0.1UF 50V X7R 0402"
"C1","100nF, 50V","TopLayer","CAPC1005X65N","1035.000","865.000","90","CAP CER 0.1UF 50V X7R 0402"
